Category,Metric,ASML,CDNS,KLAC,ONTO,PDFS,SNPS
Header,Fiscal Period,2026-Q1,2026-Q1,2026-Q3,2026-Q1,2025-Q4,2026-Q1
Header,Statement Date,3/31/2026,3/31/2026,3/31/2026,3/31/2026,12/31/2025,1/31/2026
Header,Filing Date,4/15/2026,5/1/2026,4/29/2026,5/5/2026,2/24/2026,2/25/2026
Revenue & Margin,Segment-1,NXE,Product and maintenance,Defect Inspection,Systems And Software Revenue,Platform,License and Maintenance
Revenue & Margin,Segment-1 %,42.70%,91.00%,51.00%,84.30%,100.00%,49.50%
Revenue & Margin,Segment-2,Arf immersion,Technology Service,Service,Parts Revenue,Integrated Yield Ramp,License
Revenue & Margin,Segment-2 %,42.10%,9.00%,22.10%,8.40%,5.70%,28.50%
Revenue & Margin,Segment-3,EXE,-,Patterning,Service Revenue,-,Technology Service
Revenue & Margin,Segment-3 %,4.70%,-,18.10%,7.30%,-,22.00%
Revenue & Margin,Others,"Krf, Metrology and inspection, Arf Dry, I-Line",-,"Specialty Semiconductor Process, PCB And Component Inspection, Other Revenue",-,-,Technology Service
Revenue & Margin,Others %,10.50%,-,8.90%,-,-,9.70%
Revenue & Margin,Revenue Total ($k),"33,692,700","5,528,613","13,096,661","1,030,605","219,024","8,007,661"
Revenue & Margin,Rev-CoGS / Rev,52.60%,88.85%,61.75%,48.80%,72.78%,75.14%
Revenue & Margin,Rev-CoGS-SG&A / Rev,48.81%,68.05%,53.43%,30.72%,43.10%,49.58%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,34.79%,31.11%,42.08%,10.02%,2.67%,10.82%
Revenue & Margin,Net Income / Rev,29.71%,21.18%,35.66%,10.33%,-0.29%,13.75%
EBITDA,Net Income ($k),"10,011,100","1,170,969","4,670,561","106,414",-640,"1,101,253"
EBITDA,D & A ($k),"1,162,207","196,427","391,624","65,748","11,340","1,063,184"
EBITDA,Net Interest Expense ($k),"-54,613","43,674","284,291","-25,705","3,610","338,908"
EBITDA,Tax Provision ($k),"2,094,900","423,485","714,778","22,883","3,841","76,622"
EBITDA,EBITDA ($k),"13,213,594","1,834,555","6,061,254","169,340","18,151","2,579,967"
EBITDA,Stock-Based Comp ($k),"123,900","372,581","299,336","27,814","25,925","965,555"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,"1,142.65",277.87,"1,472.41",205.07,28.53,465.12
Capital Structure,O/S Shares,"385,400,000","272,061,000","130,909,000","49,742,000","39,524,000","160,174,000"
Capital Structure,Market Capitalization ($k),"440,377,323","75,597,590","192,751,721","10,200,592","1,127,620","74,500,131"
Capital Structure,Cash ($k),"7,970,400","1,406,668","1,787,010","252,247","42,220","2,129,572"
Capital Structure,Debt ($k),"2,705,600","3,083,354","6,145,360",0,"76,657","10,044,210"
Capital Structure,Enterprise Value ($k),"435,112,523","77,274,276","197,110,071","9,948,345","1,162,057","82,414,769"
Capital Structure,netCommonStockIssuance ($k),"-965,000","-127,390","-625,954",0,1,0
Capital Structure,netDebtIssuance ($k),"-692,900","425,000",0,0,-625,0
Liquidity & Cash Flow,DSO,61.5,56.8,65.3,99.3,137.3,63.1
Liquidity & Cash Flow,DIO,265.7,167.9,241,197.8,0,70.4
Liquidity & Cash Flow,DPO,0,276.6,33.3,42.8,73,77.3
Liquidity & Cash Flow,CCC,327.2,-51.9,273,254.3,64.3,56.2
Liquidity & Cash Flow,OCF ($k),"10,727,988","1,597,542","4,401,640","262,657","24,053","2,442,895"
Liquidity & Cash Flow,CapEx ($k),"-1,568,282","-167,630","-387,065","-23,865","-32,865","-164,059"
Liquidity & Cash Flow,FCF ($k),"8,583,788","1,429,912","4,014,575","238,792","-8,812","2,278,836"
BQR-Mid-Mkt,Total Debt / Equity,0.1x,0.5x,1.1x,0.0x,0.3x,0.3x
BQR,Total Debt / Adj Ebitda,0.2x,1.7x,1.0x,0.0x,4.2x,3.9x
BQR,Adj Ebitda / Interest Expense,-999.0x,42.0x,21.3x,-999.0x,5.0x,7.6x
BQR,Net Income before extraordinary ($k),"10,011,100","1,170,969","4,670,561","106,414",-640,"1,101,253"
BQR,(NCO-CAPEX) / Total Debt,317.26%,46.38%,65.33%,99900.00%,-11.50%,22.69%
BQR,Score: Operating Leverage,15,35,35,15,52,52
BQR,Score: ICR,75,15,25,75,48,48
BQR,Score: Net Income,15,25,15,42,65,25
BQR,Score: FCF/Debt,15,25,15,15,75,45
BQR,BQR,24,27,23.5,30.8,60.4,42.9
