Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-01-31,2025-11-30,2025-08-31,2025-05-31,2025-01-31,2024-11-30,2024-08-31,2024-05-31,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-04-10,2025-12-16,2025-09-05,2025-06-11,2025-04-17,2024-12-06,2024-09-11,2024-06-13,2024-05-06,2023-12-04,2023-08-30,2023-06-07,2023-03-28,2022-11-30,2022-08-26,2022-06-01,2022-03-25
Revenue & Margin,Segment-1,The Childrens Place US Member,-,-,-,-,-,-,-,-,-,-,-,The Childrens Place US Member,-,-,-,The Childrens Place US Member
Revenue & Margin,Segment-1 %,91.3%,-,-,-,-,-,-,-,-,-,-,-,89.8%,-,-,-,90.0%
Revenue & Margin,Segment-2,The Children's Place Canada,-,-,-,-,-,-,-,-,-,-,-,The Children's Place International,-,-,-,The Children's Place International
Revenue & Margin,Segment-2 %,8.7%,-,-,-,-,-,-,-,-,-,-,-,10.2%,-,-,-,10.0%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"1,208,830","1,288,160","1,338,867","1,360,516","1,386,269","1,432,740","1,522,801","1,548,745","1,602,507","1,603,600","1,632,486","1,667,772","1,708,482","1,760,158","1,809,263","1,842,233","1,915,364"
Revenue & Margin,Rev-CoGS / Rev,27.17%,28.61%,29.33%,29.50%,30.29%,27.90%,27.64%,25.47%,24.84%,23.59%,24.04%,25.12%,27.07%,32.65%,35.43%,37.59%,38.47%
Revenue & Margin,Rev-CoGS-SG&A / Rev,-4.35%,-0.52%,1.39%,1.40%,1.25%,-1.50%,-0.27%,-2.33%,-2.42%,-4.30%,-3.55%,-2.68%,0.16%,7.06%,10.06%,12.69%,14.64%
