Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-29,2026-02-27,2025-11-07,2025-08-06,2025-05-07,2025-02-26,2024-11-07,2024-08-07,2024-05-08,2024-02-28,2023-11-08,2023-08-09,2023-05-09,2023-03-01,2022-11-08,2022-08-05,2022-05-05
Revenue & Margin,Segment-1,-,Refining,-,-,-,Refining,-,-,-,Refining,-,-,-,Refining,-,-,-
Revenue & Margin,Segment-1 %,-,91.2%,-,-,-,92.6%,-,-,-,89.6%,-,-,-,90.8%,-,-,-
Revenue & Margin,Segment-2,-,Logistics,-,-,-,Logistics,-,-,-,Logistics,-,-,-,Logistics,-,-,-
Revenue & Margin,Segment-2 %,-,8.8%,-,-,-,7.4%,-,-,-,5.6%,-,-,-,4.8%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,Retail Segment,-,-,-,Retail Segment,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,4.8%,-,-,-,4.4%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"10,734,100","10,722,900","10,667,200","10,822,600","11,366,100","11,852,200","13,527,600","15,114,000","16,001,500","16,797,800","17,227,900","17,924,000","19,711,000","20,245,800","18,874,600","16,506,200","12,715,100"
