symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
KSS,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/885639/000119312526234927/0001193125-26-234927-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/885639/000119312526234927/kss-20260520.htm,False,
KSS,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/885639/000119312526234927/0001193125-26-234927-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/885639/000119312526234927/kss-ex10_1.htm,False,
ZNTL,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1725160/000172516026000045/0001725160-26-000045-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1725160/000172516026000045/zntl-20260521.htm,False,
ZNTL,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1725160/000172516026000045/0001725160-26-000045-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1725160/000172516026000045/asco2026datapressreleasefi.htm,False,
IMMX,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1873835/000149315226024872/0001493152-26-024872-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1873835/000149315226024872/form8-k.htm,False,
IMMX,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1873835/000149315226024872/0001493152-26-024872-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1873835/000149315226024872/ex99-1.htm,False,
CNDT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000069/0001677703-26-000069-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000069/cndt-20260521.htm,True,
CNDT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000069/0001677703-26-000069-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000069/exhibit991cndtdouglastrans.htm,False,
TLN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/0001622536-26-000042-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/tln-20260520.htm,True,
TLN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/0001622536-26-000042-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/ex101amendmentno6tocredita.htm,True,
RDN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/0001193125-26-234920-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/d67298d8k.htm,False,
RDN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/0001193125-26-234920-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/d67298dex101.htm,False,
RDN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/0001193125-26-234920-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/890926/000119312526234920/d67298dex102.htm,False,
